,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
0, Lexus LX 570 Super Sport 2021,11600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
1, Lexus RX 350 L 2021,4600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,Xăng
2, Lexus RX 350 F Sport 2021,4590000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,3.000km,HàNội,Sốtựđộng,Xăng
3, Hyundai Tucson 1.6 Đặc biệt 2019,879000000,2019,SUV,Đãquasửdụng,Trongnước,29.000km,HàNội,Sốtựđộng,Xăng
4, Mercedes-Benz E250 2018,1750000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
5, Mercedes-Benz C 250 Exclusive 2017,1179000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
6, Lexus LX 570 Super Sport 2020,10999000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,
7, Porsche Panamera 4 Executive 2019,6200000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,11.700km,Tp.HCM,Sốtựđộng,Xăng
8, Mercedes-Maybach S 400 4MATIC 2017,4899000000,2017,Coupe,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
9, Honda Civic 1.5 RS 2020,810000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
10, Hyundai Tucson 2.0 Diesel Đặc biệt 2020,950000000,2020,SUV,Đãquasửdụng,Trongnước,19.000km,HàNội,Sốtựđộng,Diesel
11, Honda City 1.5 CVT 2019,475000000,2019,Sedan,Đãquasửdụng,Trongnước,31.000km,Tp.HCM,Sốtựđộng,Xăng
12, Suzuki Swift GLX 1.2 CVT 2019,505000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
13, Lexus LX 570 Super Sport 2021,11600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
14, Lexus RX 350 L 2021,4600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,Xăng
15, Lexus RX 350 F Sport 2021,4590000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,3.000km,HàNội,Sốtựđộng,Xăng
16, Hyundai Tucson 1.6 Đặc biệt 2019,879000000,2019,SUV,Đãquasửdụng,Trongnước,29.000km,HàNội,Sốtựđộng,Xăng
17, Mercedes-Benz E250 2018,1750000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
18, Mercedes-Benz C 250 Exclusive 2017,1179000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
19, Lexus LX 570 Super Sport 2020,10999000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,
20, Porsche Panamera 4 Executive 2019,6200000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,11.700km,Tp.HCM,Sốtựđộng,Xăng
21, Mercedes-Maybach S 400 4MATIC 2017,4899000000,2017,Coupe,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
22, Honda Civic 1.5 RS 2020,810000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,8.000km,Tp.HCM,Sốtựđộng,Xăng
23, Hyundai Tucson 2.0 Diesel Đặc biệt 2020,950000000,2020,SUV,Đãquasửdụng,Trongnước,19.000km,HàNội,Sốtựđộng,Diesel
24, Honda City 1.5 CVT 2019,475000000,2019,Sedan,Đãquasửdụng,Trongnước,31.000km,Tp.HCM,Sốtựđộng,Xăng
25, Suzuki Swift GLX 1.2 CVT 2019,505000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
26, Mercedes-Benz E250 AMG 2014,939000000,2014,Sedan,Đãquasửdụng,Trongnước,80.467km,HàNội,Sốtựđộng,Xăng
27, Toyota Land Cruiser Prado 2010,885000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,90.000km,HảiDương,Sốtựđộng,Xăng
28, Suzuki Vitara 1.6AT 2016,545000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,55.000km,HàNội,Sốtựđộng,Xăng
29, Toyota Vios 1.5E MT 2016,365000000,2016,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtay,Xăng
30, Mercedes-Benz E300 AMG V1 2021,2839000000,2021,Sedan,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
31, Hyundai Grand i10 Hatchback 1.2 AT 2017,340000000,2017,Hatchback,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
32, Toyota Yaris 1.3G 2016,485000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
33, Ford Ranger Wildtrak 2.0L 4x2 AT 2019,729000000,2019,Pick-upTruck,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
34, Toyota Vios 1.5E MT 2010,195000000,2010,Sedan,Đãquasửdụng,Trongnước,112.000km,HảiPhòng,Sốtay,Xăng
35, Lexus RX 350 F Sport 2019,3850000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
36, Hyundai Santa Fe 2.4L (Máy xăng) đặc biệt 2013,655000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
37, Toyota Vios 1.5E MT (3 túi khí) 2018,418000000,2018,Sedan,Đãquasửdụng,Trongnước,28.000km,HàNội,Sốtay,Xăng
38, Toyota Vios 1.5E MT 2016,348000000,2016,Sedan,Đãquasửdụng,Trongnước,56.000km,HảiPhòng,Sốtay,Xăng
39, Mazda CX-5 2.0L AT FWD 2018,795000000,2018,SUV,Đãquasửdụng,Trongnước,48.000km,HàNội,Sốtựđộng,Xăng
40, Honda City 1.5 L 2021,565000000,2021,Sedan,Đãquasửdụng,Trongnước,14.000km,BìnhDương,Sốtựđộng,Xăng
41, Kia Rio 1.4 AT Hatchback 2015,425000000,2015,,Đãquasửdụng,Nhậpkhẩu,67.000km,HàNội,Sốtựđộng,Xăng
42, Porsche Panamera 3.0 V6 2018,5600000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
43, Kia Sedona 2.2 DATH 2018,885000000,2018,MPV,Đãquasửdụng,Trongnước,90.000km,Tp.HCM,Sốtựđộng,Diesel
44, Toyota Camry 2.5Q 2014,679000000,2014,Sedan,Đãquasửdụng,Trongnước,85.000km,HàNội,Sốtựđộng,
45, Chevrolet Camaro 2LT 2.0 2018,2350000000,2018,Coupe,Đãquasửdụng,Nhậpkhẩu,20.000km,HàNội,Sốtựđộng,Xăng
46, Kia Morning Si 1.25 MT 2016,259000000,2016,Hatchback,Đãquasửdụng,Trongnước,76.000km,HảiPhòng,Sốtay,Xăng
47, Hyundai Kona 2.0AT Đặc biệt 2020,645000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,18.000km,HàNội,Sốtựđộng,Xăng
48, Lexus LX 570 MBS 2020,11200000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,38.000km,HàNội,Sốtựđộng,Xăng
49, VinFast LUX SA2.0 Nâng cao 2019,965000000,2019,SUV,Đãquasửdụng,Trongnước,26.000km,HàNội,Sốtựđộng,Xăng
50, Hyundai Santa Fe 2.4L (Máy xăng) cao cấp 2021,1165000000,2021,SUV,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Xăng
51, Toyota Innova 2.0V 2010,355000000,2010,MPV,Đãquasửdụng,Trongnước,,Tp.HCM,Sốtựđộng,Xăng
52, Kia Soluto AT Deluxe 2020,430000000,2020,Sedan,Đãquasửdụng,Trongnước,29.000km,VĩnhPhúc,Sốtựđộng,Xăng
53, Mitsubishi Xpander Cross 1.5 AT 2020,639000000,2020,SUV,Đãquasửdụng,Trongnước,30.000km,Tp.HCM,Sốtựđộng,
54, Kia Seltos 1.4 Premium 2021,755000000,2021,SUV,Đãquasửdụng,Trongnước,25.000km,HàNội,Sốtựđộng,Xăng
55, BMW X5 xDrive40i M-sport 2020,4430000000,2020,SUV,Đãquasửdụng,Trongnước,9.656km,HàNội,Sốtựđộng,Xăng
56, Porsche Panamera 4 Executive 2018,5950000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,45.062km,HàNội,Sốtựđộng,Xăng
57, Lexus LX 570 Super Sport 2018,8560000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,58.000km,HàNội,Sốtựđộng,Xăng
58, Toyota Yaris 1.5G CVT 2019,623000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Xăng
59, Mercedes-Benz GLC 200 4Matic 2021,1829000000,2021,SUV,Đãquasửdụng,Trongnước,14.000km,Tp.HCM,Sốtựđộng,Xăng
60, Toyota Camry 2009,468000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,,HàNội,Sốtựđộng,
61, Mercedes-Benz E300 AMG 2021,2879000000,2021,Sedan,Đãquasửdụng,Trongnước,8.274km,Tp.HCM,Sốtựđộng,Xăng
62, Ford Ranger Wildtrak 3.2 4x4 AT 2017,789000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,90.000km,HàNội,Sốtựđộng,
63, Toyota Corolla Cross 1.8 HV 2020,975000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,20.000km,HàNội,Sốtựđộng,Hybrid
64, Nissan Juke 1.6L CVT 2015,690000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,49.000km,BìnhDương,Sốtựđộng,Xăng
65, Ssangyong TiVoLi 1.6 AT 2015,430000000,2015,Hatchback,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
66, Toyota Alphard Executive Lounge 2019,4300000000,2019,MPV,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
67, Lexus ES 250 Luxury 2017,1880000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,37.000km,HàNội,Sốtựđộng,Xăng
68, Ford Everest 2.5MT 2013,469000000,2013,SUV,Đãquasửdụng,Trongnước,100.000km,TháiBình,Sốtay,Diesel
69, Kia K3 2.0AT 2016,460000000,2016,Sedan,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Xăng
70, Porsche Macan S 2015,2500000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
71, Chevrolet Cruze LT 2014,310000000,2014,Sedan,Đãquasửdụng,Trongnước,52.000km,HàNội,Sốtay,Xăng
72, Mercedes-Benz GLC 200 4Matic 2020,1719000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,Tp.HCM,Sốtựđộng,
73, Toyota Corolla Cross 1.8 V  2021,890000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,10.000km,HảiPhòng,Sốtựđộng,Xăng
74, Mercedes-Benz GLC 200 4Matic 2020,1980000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,8.000km,HảiPhòng,Sốtựđộng,Xăng
75, Mazda 6 2.5L Signature Premium 2017,675000000,2017,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
76, Mercedes-Benz C 250 Exclusive 2014,896000000,2014,Sedan,Đãquasửdụng,Trongnước,90.000km,HàNội,Sốtựđộng,Xăng
77, Lexus LX 570 Super Sport 2016,6680000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,
78, Ford Ranger XLS 2.2 4x2 MT 2015,475000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,86.000km,Tp.HCM,Sốtay,Diesel
79, Toyota Land Cruiser 5.7 V8 2016,5690000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,66.000km,HàNội,Sốtựđộng,Xăng
80, Hyundai Santa Fe 2008,435000000,2008,SUV,Đãquasửdụng,Trongnước,160.000km,HàNội,Sốtựđộng,
81, Mercedes-Benz E200 Edition 2015,959000000,2015,Sedan,Đãquasửdụng,Trongnước,54.000km,HàNội,Sốtựđộng,Xăng
82, Mercedes-Benz E200 E200 2018,1599000000,2018,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
83, Honda CR-V 2.4AT 2013,555000000,2013,SUV,Đãquasửdụng,Trongnước,91.234km,HàNội,Sốtựđộng,Xăng
84, BMW 730Li 2.0 2014,1390000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
85, Lexus RX 200 T 2016,2450000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,53.000km,HàNội,Sốtựđộng,
86, Toyota Innova 2.0G 2011,335000000,2011,MPV,Đãquasửdụng,Trongnước,12.000km,Tp.HCM,Sốtay,Xăng
87, Land Rover Range Rover Autobiography LWB 5.0 V8 2014,4190000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,80.467km,HàNội,Sốtựđộng,Xăng
88, VinFast LUX SA2.0 Cao cấp 2019,955000000,2019,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
89, Mercedes-Benz E200 Exclusive 2021,2266000000,2021,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
90, Honda Civic 1.5 Turbo RS 2019,755000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,38.000km,Tp.HCM,Sốtựđộng,Xăng
91, Kia Seltos 1.4 Premium 2021,759000000,2021,SUV,Đãquasửdụng,Trongnước,40.000km,Tp.HCM,Sốtựđộng,Xăng
92, Mercedes-Benz GLA 200 1.6 I4 2017,1119000000,2017,SUV,Đãquasửdụng,Trongnước,32.000km,Tp.HCM,Sốtựđộng,Xăng
93, Mazda 3 1.5L Sedan 2017,570000000,2017,Sedan,Đãquasửdụng,Trongnước,32.000km,HàNội,Sốtựđộng,Xăng
94, Mercedes-Benz GLS 450 4MATIC 2020,5950000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
95, Toyota Yaris 1.5G 2011,310000000,2011,Hatchback,Đãquasửdụng,Nhậpkhẩu,85.000km,HàNội,Sốtựđộng,Xăng
96, Mazda CX-5 2.5 Premium AT 2WD 2017,710000000,2017,SUV,Đãquasửdụng,Trongnước,53.000km,TháiBình,Sốtựđộng,Xăng
97, Toyota Camry XLE 2009,510000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,98.000km,HàNội,Sốtựđộng,Xăng
98, Mercedes-Benz GLC 200 2.0 I4 2020,1600000000,2020,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
99, Toyota Vios 1.5E MT 2022,500000000,2022,Sedan,Đãquasửdụng,Trongnước,9.000km,BìnhDương,Sốtay,Xăng
100, Toyota Camry 2.0E 2019,755000000,2019,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
101, Hyundai Santa Fe 2.2 Dầu Cao cấp 2020,1190000000,2020,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Diesel
102, Hyundai Accent 1.4MT 2019,395000000,2019,Sedan,Đãquasửdụng,Trongnước,34.000km,HảiPhòng,Sốtay,Xăng
103, Kia Sorento 2.2D Premium AWD 2022,1279000000,2022,SUV,Đãquasửdụng,Trongnước,16.000km,HàNội,Sốtựđộng,Diesel
104, Toyota Land Cruiser V6 3.5L TURBO 2021,5900000000,2021,SUV,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,
105, Kia Morning Si 1.25 MT 2016,259000000,2016,Hatchback,Đãquasửdụng,Trongnước,80.000km,HảiPhòng,Sốtay,Xăng
106, Lexus RX 200 T 2016,2429000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,
107, Hyundai Tucson 2009,305000000,2009,SUV,Đãquasửdụng,Trongnước,80.000km,HàNội,Sốtựđộng,Xăng
108, Ford Ranger Wildtrak 2.0L 4x2 AT 2017,660000000,2017,Pick-upTruck,Đãquasửdụng,Trongnước,81.000km,Tp.HCM,Sốtựđộng,Xăng
109, Mercedes-Benz E250 AMG 2014,939000000,2014,Sedan,Đãquasửdụng,Trongnước,80.467km,HàNội,Sốtựđộng,Xăng
110, Toyota Land Cruiser Prado 2010,885000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,90.000km,HảiDương,Sốtựđộng,Xăng
111, Suzuki Vitara 1.6AT 2016,545000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,55.000km,HàNội,Sốtựđộng,Xăng
112, Toyota Vios 1.5E MT 2016,365000000,2016,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtay,Xăng
113, Mercedes-Benz E300 AMG V1 2021,2839000000,2021,Sedan,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
114, Hyundai Grand i10 Hatchback 1.2 AT 2017,340000000,2017,Hatchback,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
115, Toyota Yaris 1.3G 2016,485000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
116, Ford Ranger Wildtrak 2.0L 4x2 AT 2019,729000000,2019,Pick-upTruck,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
117, Toyota Vios 1.5E MT 2010,195000000,2010,Sedan,Đãquasửdụng,Trongnước,112.000km,HảiPhòng,Sốtay,Xăng
118, Lexus RX 350 F Sport 2019,3850000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
119, Hyundai Santa Fe 2.4L (Máy xăng) đặc biệt 2013,655000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
120, Toyota Vios 1.5E MT (3 túi khí) 2018,418000000,2018,Sedan,Đãquasửdụng,Trongnước,28.000km,HàNội,Sốtay,Xăng
121, Toyota Vios 1.5E MT 2016,348000000,2016,Sedan,Đãquasửdụng,Trongnước,56.000km,HảiPhòng,Sốtay,Xăng
122, Mazda CX-5 2.0L AT FWD 2018,795000000,2018,SUV,Đãquasửdụng,Trongnước,48.000km,HàNội,Sốtựđộng,Xăng
123, Honda City 1.5 L 2021,565000000,2021,Sedan,Đãquasửdụng,Trongnước,14.000km,BìnhDương,Sốtựđộng,Xăng
124, Mercedes-Benz S400 3.0 V6 2014,2079000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
125, Ford Ranger Wildtrak 2.0L 4x4 AT 2021,906000000,2021,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Diesel
126, Porsche 718 Boxster 2022,5300000000,2022,Convertible,Đãquasửdụng,Nhậpkhẩu,13.000km,HàNội,Sốtựđộng,Xăng
127, Mercedes-Benz S400 S400 2015,2139000000,2015,Sedan,Đãquasửdụng,Trongnước,69.000km,HàNội,Sốtựđộng,Xăng
128, Lexus RX 350 RX 350H 2017,3180000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
129, Kia Carens 2009,283000000,2009,,Đãquasửdụng,Nhậpkhẩu,80.000km,HảiPhòng,Sốtựđộng,Xăng
130, Toyota Fortuner 2.4G 4x2 AT  2019,1035000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Diesel
131, Kia Sorento 2.2D Signature AWD (7 chỗ) 2022,1325000000,2022,SUV,Đãquasửdụng,Trongnước,14.000km,HàNội,Sốtựđộng,Diesel
132, Mercedes-Benz E300 AMG 2020,2525000000,2020,Sedan,Đãquasửdụng,Trongnước,39.000km,HàNội,Sốtựđộng,Xăng
133, Toyota Vios 1.5 E CVT 2020,512000000,2020,Sedan,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Xăng
134, Toyota Camry 2.0E 2018,795000000,2018,Sedan,Đãquasửdụng,Trongnước,60.000km,BìnhDương,Sốtựđộng,Xăng
135, Mercedes-Benz S450 Luxury 2020,4500000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
136, Toyota Land Cruiser V6 3.5L TURBO 2021,5790000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,4.000km,HàNội,Sốtựđộng,Xăng
137, Mitsubishi Outlander 2.0 CVT 2019,720000000,2019,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
138, Toyota Vios 1.5E MT 2019,426000000,2019,Sedan,Đãquasửdụng,Trongnước,56.000km,HàNội,Sốtay,Xăng
139, Toyota Fortuner 2.7 V 4X2 AT 2018,889000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
140, Hyundai Elantra   2.0 AT 2020,658000000,2020,Sedan,Đãquasửdụng,Trongnước,25.000km,HàNội,Sốtựđộng,Xăng
141, Kia Sorento 2.2D Premium AWD 2022,1280000000,2022,SUV,Đãquasửdụng,Trongnước,16.000km,HàNội,Sốtựđộng,Diesel
142, Toyota Sienna Limited 3.5 AT FWD 2016,2590000000,2016,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,60.000km,HàNội,Sốtựđộng,Xăng
143, Mercedes-Benz C 250 AMG 2015,1030000000,2015,Sedan,Đãquasửdụng,Trongnước,90.123km,HàNội,Sốtựđộng,Xăng
144, Kia K3 1.6AT 2016,465000000,2016,Sedan,Đãquasửdụng,Trongnước,63.000km,HảiPhòng,Sốtựđộng,Xăng
145, Toyota Vios 2010,323000000,2010,Sedan,Đãquasửdụng,Trongnước,55.000km,HảiPhòng,Sốtựđộng,Xăng
146, Lexus ES 250 F Sport 2016,1668000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,49.399km,Tp.HCM,Sốtựđộng,Xăng
