,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
147, Rolls-Royce Cullinan Black Badge 2021,39500000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,6.000km,HàNội,Sốtựđộng,
148, BMW 520i Luxury Line 2015,1099000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
149, Toyota Avalon 2010,839000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,100.000km,HảiDương,Sốtựđộng,
150, Mercedes-Benz C300 AMG 2017,1299000000,2017,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
151, Honda CR-V 1.5 L 2019,900000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,,ThanhHóa,Sốtựđộng,Xăng
152, BMW 730Li 2.0 2018,3160000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
153, Ford Transit Cao cấp 2022,855000000,2022,Minibus,Đãquasửdụng,Trongnước,368km,Tp.HCM,Sốtay,Diesel
154, Mazda 3 1.5L Premium 2019,605000000,2019,Sedan,Đãquasửdụng,Trongnước,21.000km,HàNội,Sốtựđộng,Xăng
155, Mercedes-Benz GLC 300 4MATIC 2021,2499000000,2021,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
156, Toyota Innova 2.0G 2017,677000000,2017,MPV,Đãquasửdụng,Trongnước,43.000km,Tp.HCM,Sốtựđộng,Xăng
157, Kia Cerato 1.6 AT Luxury 2018,550000000,2018,Sedan,Đãquasửdụng,Trongnước,40.000km,VĩnhPhúc,Sốtựđộng,Xăng
158, Kia Sorento Signature AWD Diesel (7 ghế) 2022,1310000000,2022,SUV,Đãquasửdụng,Trongnước,4.200km,HàNội,Sốtựđộng,Diesel
159, Mercedes-Benz E250 AMG 2017,1690000000,2017,Sedan,Đãquasửdụng,Trongnước,36.000km,HàNội,Sốtựđộng,Xăng
160, Ford Ranger XLS 2.2 4x2 AT 2017,580000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,
161, Kia Cerato 2.0 AT Premium 2021,665000000,2021,Sedan,Đãquasửdụng,Trongnước,3.795km,Tp.HCM,Sốtựđộng,Xăng
162, Kia Cerato 2.0 AT Premium 2017,515000000,2017,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
163, Kia K3 1.6 Premium 2021,670000000,2021,Sedan,Đãquasửdụng,Trongnước,14.000km,BìnhDương,Sốtựđộng,Xăng
164, Mazda CX-5 2.5L AT FWD 2018,815000000,2018,SUV,Đãquasửdụng,Trongnước,36.000km,HàNội,Sốtựđộng,Xăng
165, Isuzu mu-X 1.9 PRESTIGE 4X2 AT 2019,799000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,Tp.HCM,Sốtựđộng,Diesel
166, Honda Civic 1.8 G 2020,745000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,15.000km,Tp.HCM,Sốtựđộng,Xăng
167, Ford Ranger XLS 2.2 4x2 AT 2019,630000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,20.000km,HàNội,Sốtựđộng,
168, Mitsubishi Triton 4×4 AT (mới) 2017,480000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,88.000km,HàNội,Sốtựđộng,Xăng
169, Mercedes-Benz E200 2.0 I4 2018,1639000000,2018,Sedan,Đãquasửdụng,Trongnước,6.973km,Tp.HCM,Sốtựđộng,Xăng
170, Lincoln Navigator Black Label L 2020,8500000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,20.000km,HàNội,Sốtựđộng,Xăng
171, Mercedes-Benz S 450L 2017,3285000000,2017,Sedan,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Xăng
172, Ford Everest 2008,348000000,2008,SUV,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,Diesel
173, Kia Forte SLI 1.6 AT 2009,295000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,180.000km,HàNội,Sốtựđộng,Xăng
174, Mercedes-Benz GLC 300 GLC 300 2016,1420000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,
175, Mazda 2 1.5AT 2016,409000000,2016,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
176, Kia Sedona 2.2 Luxury 2021,1190000000,2021,MPV,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Diesel
177, Honda CR-V 1.5 G 2022,1020000000,2022,SUV,Đãquasửdụng,Trongnước,3.900km,HàNội,Sốtựđộng,
178, Kia Sorento 2.4 GATH Premium 2014,535000000,2014,SUV,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Xăng
179, Mazda CX-5 2.5L AT AWD 2017,699000000,2017,SUV,Đãquasửdụng,Trongnước,71.000km,HàNội,Sốtựđộng,
180, Toyota Camry 2.5G 2018,810000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
181, Toyota Corolla Altis 1.8G AT 2021,723000000,2021,Sedan,Đãquasửdụng,Trongnước,16.636km,HàNội,Sốtựđộng,Xăng
182, Mazda 6 2.0 Premium 2018,670000000,2018,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
183, Lexus NX 200T F-Sport 2015,1680000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
184, Toyota Innova 2.0G 2011,335000000,2011,MPV,Đãquasửdụng,Trongnước,12.000km,Tp.HCM,Sốtay,Xăng
185, Land Rover Range Rover Autobiography LWB 5.0 V8 2014,4190000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,80.467km,HàNội,Sốtựđộng,Xăng
186, VinFast LUX SA2.0 Cao cấp 2019,955000000,2019,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
187, Mercedes-Benz E200 Exclusive 2021,2266000000,2021,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
188, Honda Civic 1.5 Turbo RS 2019,755000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,38.000km,Tp.HCM,Sốtựđộng,Xăng
189, Kia Seltos 1.4 Premium 2021,759000000,2021,SUV,Đãquasửdụng,Trongnước,40.000km,Tp.HCM,Sốtựđộng,Xăng
190, Mercedes-Benz GLA 200 1.6 I4 2017,1119000000,2017,SUV,Đãquasửdụng,Trongnước,32.000km,Tp.HCM,Sốtựđộng,Xăng
191, Mazda 3 1.5L Sedan 2017,570000000,2017,Sedan,Đãquasửdụng,Trongnước,32.000km,HàNội,Sốtựđộng,Xăng
192, Mercedes-Benz GLS 450 4MATIC 2020,5950000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,9.000km,HàNội,Sốtựđộng,Xăng
193, Toyota Yaris 1.5G 2011,310000000,2011,Hatchback,Đãquasửdụng,Nhậpkhẩu,85.000km,HàNội,Sốtựđộng,Xăng
194, Mazda CX-5 2.5 Premium AT 2WD 2017,710000000,2017,SUV,Đãquasửdụng,Trongnước,53.000km,TháiBình,Sốtựđộng,Xăng
195, Toyota Camry XLE 2009,510000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,98.000km,HàNội,Sốtựđộng,Xăng
196, Mercedes-Benz GLC 200 2.0 I4 2020,1600000000,2020,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
197, Toyota Vios 1.5E MT 2022,500000000,2022,Sedan,Đãquasửdụng,Trongnước,9.000km,BìnhDương,Sốtay,Xăng
198, Toyota Camry 2.0E 2019,755000000,2019,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
199, Honda Accord 1.5 Turbo 2022,1238000000,2022,Sedan,Đãquasửdụng,Nhậpkhẩu,,Tp.HCM,Sốtựđộng,Xăng
200, Mercedes-Benz E180 1.5 I4 2020,1659000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,12.000km,Tp.HCM,Sốtựđộng,
201, Honda Accord EX 2.4 AT 2003,195000000,2003,Sedan,Đãquasửdụng,Nhậpkhẩu,125.000km,Tp.HCM,Sốtựđộng,Xăng
202, Mercedes-Benz C200 2.0 AT 2016,969000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,53.000km,Tp.HCM,Sốtựđộng,
203, Kia Morning 1.2MT 2020,269000000,2020,Hatchback,Đãquasửdụng,Trongnước,25.000km,Tp.HCM,Sốtựđộng,Xăng
204, Hyundai Grand i10 Hatchback 1.2 AT 2019,372000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,38.000km,Tp.HCM,Sốtựđộng,Xăng
205, Daewoo Nubira 2001,56000000,2001,Sedan,Đãquasửdụng,Trongnước,55.000km,Tp.HCM,Sốtay,Xăng
206, Hyundai Tucson 2.0 Đặc biệt 2020,855000000,2020,SUV,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
207, Nissan Navara VE 2WD Tiêu chuẩn 2021,720000000,2021,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,8.000km,HàNội,Sốtựđộng,Diesel
208, Hyundai Santa Fe 2.2L (Máy dầu) cao cấp 2022,1450000000,2022,SUV,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
209, Toyota Fortuner 2.5G 4x2MT 2014,660000000,2014,SUV,Đãquasửdụng,Trongnước,100.000km,TháiBình,Sốtay,Diesel
210, BMW X5 xDrive35i 2011,800000000,2011,SUV,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtựđộng,Xăng
211, Mercedes-Benz G63 4.0 V8 2021,13200000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,20.000km,Tp.HCM,Sốtựđộng,Xăng
212, Mercedes-Benz G63 4.0 V8 2021,13200000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,20.000km,Tp.HCM,Sốtựđộng,Xăng
213, Hyundai Tucson 1.6 T-GDi Đặc biệt 2020,899000000,2020,SUV,Đãquasửdụng,Trongnước,35.000km,HàNội,Sốtựđộng,Xăng
214, Honda CR-V 1.5 L 2020,102000000,2020,,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
215, Mazda CX-5 2.5 Premium AT 2WD 2016,668000000,2016,SUV,Đãquasửdụng,Trongnước,50.000km,HảiPhòng,Sốtựđộng,Xăng
216, Mazda 3 2.0L Sedan 2015,530000000,2015,Sedan,Đãquasửdụng,Trongnước,52.000km,HàNội,Sốtựđộng,Xăng
217, Mazda 6 2.0 Premium 2018,685000000,2018,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtựđộng,
218, Lexus LX 570 Super Sport 2021,11500000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,2.789km,Tp.HCM,Sốtựđộng,Xăng
219, Mercedes-Benz S450 Luxury 2019,3799000000,2019,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
220, Mazda 3 Sport 1.5L Luxury 2022,748000000,2022,Hatchback,Đãquasửdụng,Trongnước,8.000km,HàNội,Sốtựđộng,Xăng
221, Mazda CX-8 Premium AWD 2020,1020000000,2020,SUV,Đãquasửdụng,Trongnước,11.000km,Tp.HCM,Sốtựđộng,Xăng
222, Toyota Vios 2009,179000000,2009,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtay,Xăng
223, VinFast LUX A2.0 Cao cấp 2021,845000000,2021,Sedan,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Xăng
224, Lexus GX 460 2010,1600000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,112.654km,HàNội,Sốtựđộng,Xăng
225, Toyota Camry 2007,420000000,2007,Sedan,Đãquasửdụng,Nhậpkhẩu,221.704km,HàNội,Sốtựđộng,Xăng
226, Mitsubishi Pajero Sport 3.0 Gasoline 4×2 AT 2018,795000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
227, Mazda 2 1.5AT 2016,399000000,2016,Sedan,Đãquasửdụng,Trongnước,45.000km,Tp.HCM,Sốtựđộng,Xăng
228, Nissan X trail 2.0 2WD Premium 2016,635000000,2016,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
229, Ford Ranger Wildtrak 2.0L 4x4 AT 2018,760000000,2018,,Đãquasửdụng,Nhậpkhẩu,66.000km,Tp.HCM,Sốtựđộng,Diesel
230, VinFast Fadil Tiêu Chuẩn 2021,358000000,2021,Hatchback,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
231, Toyota Land Cruiser VX 4.6 V8 2004,495000000,2004,SUV,Đãquasửdụng,Nhậpkhẩu,198.639km,PhúThọ,Sốtay,Xăng
232, Hyundai Accent 1.4AT Tiêu chuẩn 2022,515000000,2022,Sedan,Đãquasửdụng,Trongnước,8.500km,BìnhDương,Sốtựđộng,Xăng
233, Ford Escape XLS 2.3 AT 4x2 2013,385000000,2013,SUV,Đãquasửdụng,Trongnước,90.000km,HàNội,Sốtựđộng,Xăng
234, Ford Everest Sport 2.0 AT 4x2 2021,1055000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,Tp.HCM,Sốtựđộng,Diesel
235, Ford EcoSport Titanium 1.5L AT 2017,465000000,2017,SUV,Đãquasửdụng,Trongnước,76.000km,HàNội,Sốtựđộng,Xăng
236, Mazda CX-8 Premium AWD 2020,1020000000,2020,SUV,Đãquasửdụng,Trongnước,11.000km,Tp.HCM,Sốtựđộng,Xăng
237, Toyota Vios 2009,179000000,2009,Sedan,Đãquasửdụng,Trongnước,,HàNội,Sốtay,Xăng
238, VinFast LUX A2.0 Cao cấp 2021,845000000,2021,Sedan,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Xăng
239, Lexus GX 460 2010,1600000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,112.654km,HàNội,Sốtựđộng,Xăng
240, Toyota Camry 2007,420000000,2007,Sedan,Đãquasửdụng,Nhậpkhẩu,221.704km,HàNội,Sốtựđộng,Xăng
241, Mitsubishi Pajero Sport 3.0 Gasoline 4×2 AT 2018,795000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
242, Mazda 2 1.5AT 2016,399000000,2016,Sedan,Đãquasửdụng,Trongnước,45.000km,Tp.HCM,Sốtựđộng,Xăng
243, Nissan X trail 2.0 2WD Premium 2016,635000000,2016,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
244, Ford Ranger Wildtrak 2.0L 4x4 AT 2018,760000000,2018,,Đãquasửdụng,Nhậpkhẩu,66.000km,Tp.HCM,Sốtựđộng,Diesel
245, VinFast Fadil Tiêu Chuẩn 2021,358000000,2021,Hatchback,Đãquasửdụng,Trongnước,13.000km,HàNội,Sốtựđộng,Xăng
246, Toyota Land Cruiser VX 4.6 V8 2004,495000000,2004,SUV,Đãquasửdụng,Nhậpkhẩu,198.639km,PhúThọ,Sốtay,Xăng
247, Hyundai Accent 1.4AT Tiêu chuẩn 2022,515000000,2022,Sedan,Đãquasửdụng,Trongnước,8.500km,BìnhDương,Sốtựđộng,Xăng
248, Ford Escape XLS 2.3 AT 4x2 2013,385000000,2013,SUV,Đãquasửdụng,Trongnước,90.000km,HàNội,Sốtựđộng,Xăng
249, Ford Everest Sport 2.0 AT 4x2 2021,1055000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,Tp.HCM,Sốtựđộng,Diesel
250, Ford EcoSport Titanium 1.5L AT 2017,465000000,2017,SUV,Đãquasửdụng,Trongnước,76.000km,HàNội,Sốtựđộng,Xăng
251, Hyundai Elantra GLS 2.0 AT 2020,665000000,2020,Sedan,Đãquasửdụng,Trongnước,20.000km,TháiBình,Sốtựđộng,Xăng
252, Kia Morning Si 1.25 AT 2016,295000000,2016,Hatchback,Đãquasửdụng,Trongnước,62.000km,HàNội,Sốtựđộng,Xăng
253, Mitsubishi Zinger GLS 2.4 MT 2009,215000000,2009,MPV,Đãquasửdụng,Trongnước,165.000km,Tp.HCM,Sốtay,Xăng
254, Hyundai Elantra GLS 2.0 AT 2019,615000000,2019,Sedan,Đãquasửdụng,Trongnước,34.000km,HàNội,Sốtựđộng,Xăng
255, Toyota Innova 2.0E 2017,615000000,2017,MPV,Đãquasửdụng,Trongnước,86.000km,BìnhDương,Sốtay,Xăng
256, Hyundai Santa Fe 2.2 Dầu Cao cấp 2021,1265000000,2021,SUV,Đãquasửdụng,Trongnước,18.000km,HàNội,Sốtựđộng,Diesel
257, Mazda 6 2.0L Luxury 2021,795000000,2021,Sedan,Đãquasửdụng,Trongnước,10.000km,HàNội,Sốtựđộng,Xăng
258, Porsche 718 Cayman 2.0 2019,4750000000,2019,SportCar,Đãquasửdụng,Nhậpkhẩu,9.820km,HàNội,Sốtựđộng,Xăng
259, Toyota Camry 2010,588000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,110.000km,HàNội,Sốtựđộng,Xăng
260, Toyota Camry 2.5Q 2019,1145000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
261, Mercedes-Benz E180 1.5 I4 2020,1619000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,21.000km,Tp.HCM,Sốtựđộng,Xăng
262, Mercedes-Benz E200 Edition 2015,940000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
263, Lexus RX 200 T 2016,2450000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,63.000km,HàNội,Sốtựđộng,Xăng
264, Hyundai Tucson 2.0 Đặc biệt 2017,725000000,2017,SUV,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
265, Kia Carens S 2.0 AT 2014,358000000,2014,CUV,Đãquasửdụng,Trongnước,88.000km,HảiPhòng,Sốtựđộng,Xăng
266, Haima 7 2012,200000000,2012,SUV,Đãquasửdụng,Nhậpkhẩu,80.000km,HảiPhòng,Sốtựđộng,Xăng
267, Honda CR-V 2.4AT 2016,668000000,2016,SUV,Đãquasửdụng,Trongnước,86.000km,HàNội,Sốtựđộng,Xăng
268, Mitsubishi Outlander 2.0 CVT 2019,730000000,2019,SUV,Đãquasửdụng,Trongnước,31.000km,HàNội,Sốtựđộng,Xăng
269, Mazda 6 2.0 Premium 2022,900000000,2022,Sedan,Đãquasửdụng,Trongnước,26.000km,HàNội,Sốtựđộng,Xăng
270, Kia Optima 2.0 AT 2014,515000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,69.000km,Tp.HCM,Sốtựđộng,Xăng
271, Land Rover Range Rover Autobiography LWB 5.0 V8 2014,4350000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
272, Mercedes-Benz GLS 450 4MATIC 2020,5350000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
273, Honda City 1.5 MT 2017,375000000,2017,Sedan,Đãquasửdụng,Trongnước,60.000km,VĩnhPhúc,Sốtay,Xăng
274, Hyundai Elantra GLS 2.0 AT 2016,509000000,2016,Sedan,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,Xăng
275, Peugeot 3008 Allure 2021,1075000000,2021,SUV,Đãquasửdụng,Trongnước,5.600km,Tp.HCM,Sốtựđộng,Xăng
276, Honda Civic 1.5 RS 2020,800000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,40.000km,HàNội,Sốtựđộng,Xăng
277, Porsche Panamera 4 Executive 2019,6200000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,11.633km,Tp.HCM,Sốtựđộng,Xăng
278, Hyundai Accent 1.4MT 2018,388000000,2018,Sedan,Đãquasửdụng,Trongnước,38.000km,HảiPhòng,Sốtay,Xăng
279, Mercedes-Benz C200 Exclusive 2021,1620000000,2021,Sedan,Đãquasửdụng,Trongnước,12.000km,HàNội,Sốtựđộng,Xăng
280, Ford Ranger Raptor 2.0L AT 4x4 2020,1330000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,35.000km,HàNội,Sốtựđộng,
281, Hyundai Santa Fe 2.2L (Máy dầu) cao cấp 2021,1390000000,2021,SUV,Đãquasửdụng,Trongnước,12.000km,VĩnhPhúc,Sốtựđộng,Diesel
282, Hyundai Tucson 2.0 Diesel Đặc biệt 2021,945000000,2021,SUV,Đãquasửdụng,Trongnước,26.000km,HàNội,Sốtựđộng,Diesel
283, Kia Sportage Limited 2.0 AT 2012,499000000,2012,SUV,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtựđộng,Xăng
284, Toyota Vios 2007,99000000,2007,,Đãquasửdụng,Trongnước,01km,HàNội,Sốtay,Xăng
285, Toyota Innova 2.0E 2019,645000000,2019,MPV,Đãquasửdụng,Trongnước,54.000km,HàNội,Sốtay,Xăng
286, BMW X6 xDrive35i 2016,2250000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,59.000km,HàNội,Sốtựđộng,Xăng
287, Mercedes-Benz C200 2009,370000000,2009,Sedan,Đãquasửdụng,Trongnước,100.000km,TháiBình,Sốtựđộng,Xăng
288, Toyota Fortuner 2.7 V 4X4 AT 2009,395000000,2009,SUV,Đãquasửdụng,Trongnước,100.000km,TháiBình,Sốtựđộng,Xăng
289, Mazda CX-5 2.0 Premium 2016,645000000,2016,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
290, Suzuki XL7 GLX 2020,565000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,35.000km,HàNội,Sốtựđộng,
291, VinFast Fadil Tiêu Chuẩn 2019,325000000,2019,Hatchback,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
292, Toyota Corolla Altis 2.0V  2015,556000000,2015,Sedan,Đãquasửdụng,Trongnước,56.000km,HảiPhòng,Sốtựđộng,Xăng
293, BMW X7 xDrive 40i M Sport 2019,6195000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,14.484km,HàNội,Sốtựđộng,Xăng
294, Ford Ranger XLS 2.2 4x2 AT 2017,579000000,2017,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
295, Ford Focus 1.5L Ecoboost Titanium 2016,538000000,2016,Sedan,Đãquasửdụng,Trongnước,24.000km,Tp.HCM,Sốtựđộng,Xăng
